rank	cmap name	mean	n	enrichment	p	specificity	percent non-null	
423	propofol	-0.253	4	-0.339	0.6401	0.6037	50	
912	carbachol	-0.15	4	-0.339	---	---	25	
917	hesperidin	0	4	-0.338	---	---	0	
426	desoxycortone	-0.191	4	-0.337	0.6467	0.698	50	
372	ranitidine	-0.297	5	-0.336	0.52362	0.6614	60	
922	roxithromycin	-0.177	4	-0.336	---	---	25	
923	tropicamide	-0.157	6	-0.336	---	---	33	
924	suprofen	-0.109	4	-0.335	---	---	25	
925	milrinone	-0.166	3	-0.335	---	---	33	
926	canadine	0.162	4	-0.335	---	---	0	
927	rosiglitazone	-0.094	14	-0.334	---	---	35	
928	PF-00539745-00	0.229	3	-0.334	---	---	0	
929	vancomycin	0.176	4	-0.334	---	---	0	
430	pentetrazol	-0.058	4	-0.333	0.66047	0.6766	50	
432	berberine	-0.33	4	-0.332	0.66598	0.7791	50	
936	abamectin	0	4	-0.332	---	---	0	
940	2-aminobenzenesulfonamide	0.012	4	-0.332	---	---	25	
943	Prestwick-1083	-0.09	3	-0.331	---	---	33	
944	gallamine triethiodide	-0.129	5	-0.33	---	---	40	
946	sulfamonomethoxine	0.071	4	-0.33	---	---	25	
948	tomatidine	0	4	-0.33	---	---	0	
950	rottlerin	-0.183	3	-0.33	---	---	33	
951	Prestwick-642	0.144	4	-0.33	---	---	0	
434	progesterone	-0.294	4	-0.329	0.67479	0.651	50	
954	trazodone	-0.279	3	-0.329	---	---	33	
955	doxepin	-0.145	3	-0.329	---	---	33	
957	fipexide	-0.187	3	-0.329	---	---	33	
958	sulindac	-0.195	7	-0.328	---	---	42	
435	telenzepine	-0.291	4	-0.327	0.68247	0.6207	50	
436	natamycin	-0.328	4	-0.326	0.68406	0.8579	50	
437	C-75	-0.133	4	-0.326	0.68448	0.6953	50	
438	bupivacaine	-0.152	4	-0.326	0.68515	0.5926	50	
961	biotin	-0.27	3	-0.326	---	---	33	
962	nifuroxazide	-0.181	4	-0.326	---	---	25	
963	daunorubicin	-0.144	4	-0.326	---	---	25	
439	primaquine	-0.085	4	-0.325	0.68828	0.7037	50	
964	ceforanide	-0.007	4	-0.325	---	---	25	
965	reserpine	-0.268	3	-0.325	---	---	33	
967	hydroflumethiazide	-0.056	5	-0.325	---	---	40	
441	clorgiline	-0.127	4	-0.324	0.69058	0.672	50	
968	pargyline	-0.19	4	-0.324	---	---	25	
442	chlorphenesin	-0.302	4	-0.323	0.69687	0.801	50	
971	pentamidine	-0.26	5	-0.323	---	---	40	
974	allantoin	-0.118	5	-0.322	---	---	40	
975	pheniramine	0.022	5	-0.322	---	---	20	
497	5224221	-0.271	2	-0.321	0.95906	0.9699	50	
976	caffeic acid	-0.235	3	-0.321	---	---	33	
977	parthenolide	-0.171	4	-0.321	---	---	25	
980	folic acid	0.079	4	-0.321	---	---	25	
445	troleandomycin	-0.297	4	-0.32	0.70489	0.774	50	
447	ampicillin	-0.149	4	-0.319	0.70827	0.6604	50	
448	bupropion	-0.1	4	-0.319	0.70889	0.8177	50	
983	tiratricol	0	4	-0.319	---	---	0	
449	noscapine	-0.083	4	-0.318	0.71097	0.6087	50	
984	dehydrocholic acid	0	5	-0.318	---	---	0	
986	demecarium bromide	0.017	4	-0.318	---	---	25	
452	N-acetylmuramic acid	-0.134	4	-0.317	0.71489	0.7397	50	
990	indoprofen	0.01	4	-0.316	---	---	25	
454	metacycline	-0.29	4	-0.315	0.72229	0.8653	50	
993	ketoprofen	-0.187	6	-0.315	---	---	33	
994	naftopidil	-0.097	3	-0.314	---	---	33	
455	vinpocetine	-0.289	4	-0.313	0.72653	0.7937	50	
456	8-azaguanine	-0.314	4	-0.313	0.72715	0.8811	50	
458	diflorasone	-0.142	4	-0.313	0.72826	0.7081	50	
459	naftidrofuryl	-0.291	4	-0.313	0.72826	0.6144	50	
996	0179445-0000	-0.113	8	-0.313	---	---	37	
999	dihydroergotamine	-0.118	5	-0.313	---	---	40	
461	amoxicillin	-0.293	4	-0.311	0.73377	0.8722	50	
1000	tolazoline	-0.098	5	-0.311	---	---	20	
1003	isopropamide iodide	-0.143	4	-0.31	---	---	25	
1008	alexidine	-0.185	4	-0.309	---	---	25	
463	dosulepin	-0.101	4	-0.308	0.7432	0.7521	50	
1009	butyl hydroxybenzoate	-0.14	5	-0.308	---	---	20	
1010	sulfachlorpyridazine	-0.245	5	-0.308	---	---	40	
1012	mefloquine	-0.241	5	-0.307	---	---	40	
1014	ondansetron	0.058	4	-0.307	---	---	25	
1015	alpha-ergocryptine	-0.185	6	-0.307	---	---	33	
1016	tetroquinone	-0.144	4	-0.307	---	---	25	
1017	alpha-estradiol	-0.266	16	-0.306	---	---	43	
1019	bretylium tosilate	0.036	4	-0.306	---	---	25	
1020	dantrolene	-0.036	6	-0.306	---	---	16	
1021	niflumic acid	-0.131	4	-0.306	---	---	25	
1022	ribostamycin	-0.15	4	-0.306	---	---	25	
464	N-acetyl-L-leucine	-0.221	4	-0.305	0.75343	0.8833	50	
1024	oxaprozin	-0.072	6	-0.305	---	---	16	
1025	salsolinol	-0.208	3	-0.305	---	---	33	
1026	lomefloxacin	-0.11	6	-0.304	---	---	16	
382	metoclopramide	-0.214	6	-0.303	0.54432	0.4253	50	
466	cefepime	-0.083	4	-0.303	0.7586	0.7643	50	
467	imipenem	-0.333	4	-0.302	0.76107	0.895	50	
1031	nitrendipine	-0.113	5	-0.302	---	---	40	
1032	ethionamide	-0.185	3	-0.301	---	---	33	
1033	metamizole sodium	-0.177	6	-0.301	---	---	33	
468	ursolic acid	-0.176	4	-0.3	0.77012	0.8248	50	
1035	pramocaine	0.014	5	-0.3	---	---	20	
389	indapamide	-0.121	6	-0.299	0.56074	0.5852	50	
469	luteolin	-0.287	4	-0.299	0.77063	0.96	50	
1039	etiocholanolone	0.155	6	-0.299	---	---	16	
1040	fenofibrate	-0.066	3	-0.299	---	---	33	
1041	miconazole	-0.092	5	-0.299	---	---	20	
1042	moxisylyte	-0.107	5	-0.299	---	---	40	
393	famprofazone	-0.275	6	-0.298	0.56724	0.7701	50	
1045	buflomedil	-0.114	4	-0.298	---	---	25	
1050	PF-01378883-00	0.026	4	-0.296	---	---	25	
1055	rofecoxib	-0.002	6	-0.295	---	---	16	
1057	edrophonium chloride	-0.174	5	-0.294	---	---	40	
1058	streptomycin	-0.164	4	-0.294	---	---	25	
1059	acetylsalicylic acid	-0.155	13	-0.294	---	---	23	
471	lymecycline	-0.37	4	-0.293	0.79079	0.8895	50	
1063	ciclosporin	-0.123	6	-0.293	---	---	33	
1065	hexylcaine	0	4	-0.293	---	---	0	
472	pimozide	-0.177	4	-0.292	0.79415	0.9027	50	
1072	amprolium	-0.141	5	-0.291	---	---	40	
1073	(+/-)-catechin	-0.113	4	-0.289	---	---	25	
1074	phenazone	-0.167	3	-0.289	---	---	33	
473	triprolidine	-0.141	4	-0.287	0.81008	0.8302	50	
1078	phenoxybenzamine	-0.116	4	-0.287	---	---	25	
1080	fusaric acid	-0.148	4	-0.287	---	---	25	
1081	clonidine	0.067	4	-0.286	---	---	25	
1084	chloroquine	-0.168	4	-0.286	---	---	25	
1085	flutamide	-0.203	5	-0.285	---	---	40	
1086	thapsigargin	0.22	3	-0.285	---	---	0	
1087	glycopyrronium bromide	-0.123	5	-0.285	---	---	20	
474	procyclidine	-0.124	4	-0.284	0.81718	0.7988	50	
1088	Prestwick-1100	-0.135	4	-0.284	---	---	25	
1090	astemizole	-0.096	5	-0.284	---	---	20	
419	0173570-0000	-0.135	6	-0.283	0.62836	0.8613	50	
1093	noretynodrel	-0.114	4	-0.282	---	---	25	
1094	BCB000038	-0.139	4	-0.282	---	---	25	
1096	fendiline	-0.012	3	-0.282	---	---	33	
498	5252917	-0.248	2	-0.281	0.99258	1	50	
1097	solanine	-0.194	4	-0.281	---	---	25	
475	prasterone	-0.101	4	-0.28	0.82932	0.824	50	
1098	tiapride	-0.084	5	-0.28	---	---	40	
1100	metanephrine	-0.153	5	-0.28	---	---	40	
1101	liothyronine	-0.201	4	-0.28	---	---	25	
1102	roxarsone	-0.219	4	-0.279	---	---	25	
476	L-methionine sulfoximine	-0.102	4	-0.278	0.83373	0.8343	50	
1103	eldeline	-0.178	6	-0.277	---	---	33	
1105	gossypol	-0.006	6	-0.277	---	---	33	
429	hydralazine	-0.186	6	-0.276	0.65967	0.6455	50	
477	hydrastine hydrochloride	-0.259	4	-0.275	0.84368	0.8629	50	
1110	butamben	-0.017	4	-0.275	---	---	25	
1111	vincamine	0.113	6	-0.275	---	---	16	
1112	carbarsone	-0.045	4	-0.275	---	---	25	
1114	suloctidil	-0.062	4	-0.274	---	---	25	
1117	rotenone	-0.033	4	-0.274	---	---	25	
1118	benzamil	0.028	6	-0.273	---	---	16	
1119	clebopride	0.117	4	-0.273	---	---	25	
1120	mestranol	-0.037	4	-0.272	---	---	25	
479	thiocolchicoside	-0.295	4	-0.271	0.85488	0.9512	50	
1121	monocrotaline	-0.16	4	-0.271	---	---	25	
1124	sulfamethizole	-0.026	4	-0.271	---	---	25	
371	indometacin	-0.182	8	-0.27	0.52321	0.5326	50	
1127	lorglumide	-0.242	5	-0.27	---	---	40	
1128	suxibuzone	-0.16	4	-0.269	---	---	25	
1129	spiramycin	-0.188	6	-0.268	---	---	33	
1130	fusidic acid	0.045	4	-0.267	---	---	25	
1131	chlorpropamide	-0.054	6	-0.267	---	---	16	
1134	nalbuphine	-0.158	5	-0.266	---	---	20	
1136	difenidol	-0.21	3	-0.266	---	---	33	
1137	flumequine	-0.14	4	-0.266	---	---	25	
1138	nifedipine	-0.165	7	-0.266	---	---	42	
1139	naloxone	-0.206	6	-0.265	---	---	33	
1141	metitepine	-0.023	4	-0.265	---	---	25	
480	nimesulide	-0.256	4	-0.263	0.8771	0.8839	50	
481	coralyne	-0.056	4	-0.263	0.87734	0.8591	50	
1146	sulfamerazine	-0.009	5	-0.262	---	---	20	
1147	bethanechol	0.074	4	-0.261	---	---	25	
1149	troglitazone	-0.14	16	-0.261	---	---	31	
483	dorzolamide	-0.12	4	-0.26	0.88339	0.8836	50	
1150	bephenium hydroxynaphthoate	-0.221	5	-0.26	---	---	40	
1153	S-propranolol	-0.17	4	-0.26	---	---	25	
1155	skimmianine	-0.193	4	-0.259	---	---	25	
1163	succinylsulfathiazole	-0.144	4	-0.255	---	---	25	
484	bicuculline	-0.203	4	-0.253	0.90155	0.904	50	
1164	piracetam	0.046	4	-0.253	---	---	25	
485	perhexiline	-0.119	4	-0.252	0.90272	0.9496	50	
1166	mephenesin	-0.095	5	-0.252	---	---	40	
1168	Prestwick-857	0.045	4	-0.252	---	---	25	
1171	salbutamol	-0.113	5	-0.251	---	---	40	
487	levothyroxine sodium	-0.088	4	-0.249	0.90967	0.9212	50	
1174	cefsulodin	-0.154	4	-0.249	---	---	25	
1177	dobutamine	0.015	4	-0.248	---	---	25	
1179	rimexolone	-0.215	4	-0.248	---	---	25	
1180	minaprine	-0.09	5	-0.248	---	---	40	
1181	hymecromone	0.032	4	-0.247	---	---	25	
1182	cyclizine	-0.006	4	-0.246	---	---	25	
1184	naftifine	-0.092	4	-0.246	---	---	25	
1186	drofenine	-0.02	4	-0.245	---	---	25	
1189	tocainide	-0.129	4	-0.244	---	---	25	
1191	lynestrenol	0.045	5	-0.243	---	---	20	
1193	metronidazole	0.06	5	-0.242	---	---	20	
491	amodiaquine	-0.252	4	-0.241	0.93075	0.9605	50	
1197	physostigmine	-0.124	4	-0.241	---	---	25	
493	orciprenaline	-0.127	4	-0.24	0.93419	0.9	50	
1198	cotinine	-0.117	6	-0.24	---	---	33	
1199	stachydrine	-0.144	4	-0.239	---	---	25	
1200	F0447-0125	-0.054	4	-0.239	---	---	25	
1201	clindamycin	-0.208	5	-0.239	---	---	40	
1202	niclosamide	-0.252	5	-0.238	---	---	40	
1209	sulfafurazole	-0.23	5	-0.235	---	---	40	
494	(-)-MK-801	-0.223	4	-0.234	0.94615	0.9568	50	
1212	tobramycin	-0.149	4	-0.233	---	---	25	
1213	lincomycin	0.03	3	-0.232	---	---	33	
496	oxantel	-0.11	4	-0.231	0.95212	0.9464	50	
1215	sulfaguanidine	-0.114	5	-0.231	---	---	40	
478	flufenamic acid	-0.238	6	-0.23	0.84452	0.9371	50	
1217	hydroxyachillin	-0.036	4	-0.228	---	---	25	
1218	domperidone	-0.063	4	-0.228	---	---	25	
1224	quinisocaine	-0.068	4	-0.225	---	---	25	
1225	pyrantel	-0.207	5	-0.224	---	---	40	
1229	prochlorperazine	-0.174	16	-0.223	---	---	31	
1230	colforsin	-0.166	5	-0.222	---	---	20	
1235	dilazep	-0.131	5	-0.219	---	---	20	
1236	homatropine	0.037	5	-0.219	---	---	20	
1237	benperidol	-0.033	4	-0.218	---	---	25	
1238	metergoline	-0.018	4	-0.218	---	---	25	
1239	terguride	-0.084	8	-0.217	---	---	25	
1243	melatonin	-0.037	4	-0.216	---	---	25	
1244	thioproperazine	0.021	5	-0.215	---	---	20	
1246	acetazolamide	-0.166	4	-0.214	---	---	25	
1253	sulfinpyrazone	-0.025	4	-0.209	---	---	25	
1257	kawain	-0.111	5	-0.207	---	---	20	
1259	Prestwick-984	-0.162	4	-0.206	---	---	25	
1261	tranylcypromine	-0.089	5	-0.206	---	---	40	
1264	bendroflumethiazide	-0.198	6	-0.202	---	---	33	
1265	chlorpromazine	-0.191	19	-0.201	---	---	42	
1267	homochlorcyclizine	0.017	4	-0.201	---	---	25	
1268	hexamethonium bromide	-0.112	5	-0.201	---	---	20	
1270	captopril	-0.064	5	-0.2	---	---	20	
1272	minoxidil	0.029	5	-0.199	---	---	20	
1274	neomycin	-0.092	5	-0.198	---	---	40	
1275	SB-203580	-0.018	5	-0.198	---	---	20	
1279	dipyridamole	-0.135	6	-0.196	---	---	33	
1281	dexibuprofen	-0.04	4	-0.195	---	---	25	
1282	aminophenazone	-0.097	5	-0.194	---	---	40	
1284	geldanamycin	-0.181	15	-0.194	---	---	40	
1285	epivincamine	-0.032	4	-0.193	---	---	25	
1289	nilutamide	0.006	4	-0.187	---	---	25	
1291	sulfamethoxazole	-0.02	5	-0.182	---	---	20	
1292	thalidomide	-0.09	7	-0.182	---	---	28	
1293	tamoxifen	-0.15	7	-0.179	---	---	42	
1298	haloperidol	-0.022	32	-0.166	---	---	28	
1306	LY-294002	-0.093	61	-0.125	---	---	24	
1309	valproic acid	-0.026	57	0.055	---	---	22	
1308	tanespimycin	-0.093	62	0.12	---	---	11	
1307	monorden	-0.054	22	0.123	---	---	9	
1305	fulvestrant	0.014	40	0.134	---	---	27	
1302	tinidazole	-0.067	6	0.139	---	---	16	
1303	sirolimus	-0.008	44	0.139	---	---	22	
1304	fluphenazine	-0.009	18	0.139	---	---	16	
1301	estradiol	0.102	37	0.155	---	---	32	
1300	flecainide	0.013	6	0.158	---	---	33	
1299	clenbuterol	-0.069	5	0.16	---	---	20	
1297	tolbutamide	-0.081	7	0.168	---	---	14	
1296	bucladesine	0.097	6	0.171	---	---	33	
1294	ivermectin	-0.017	5	0.176	---	---	20	
1295	isotretinoin	0.017	4	0.176	---	---	25	
1290	prazosin	0.092	6	0.185	---	---	33	
1288	heliotrine	-0.103	6	0.188	---	---	16	
1287	etynodiol	0.007	4	0.19	---	---	25	
1286	zuclopenthixol	0.019	4	0.191	---	---	25	
1283	digoxigenin	0.015	5	0.194	---	---	20	
1280	pepstatin	0.036	4	0.195	---	---	25	
1276	quercetin	-0.066	6	0.197	---	---	16	
1277	orlistat	-0.028	5	0.197	---	---	20	
1278	5194442	-0.022	4	0.197	---	---	25	
1273	alfuzosin	0.021	5	0.198	---	---	20	
1269	gibberellic acid	0.01	4	0.2	---	---	25	
1271	methoxamine	-0.008	4	0.2	---	---	25	
1266	oxolinic acid	-0.084	5	0.201	---	---	20	
1262	valdecoxib	-0.035	3	0.202	---	---	33	
1263	clobetasol	0	3	0.202	---	---	33	
1260	SC-19220	0.03	4	0.206	---	---	25	
1256	probucol	-0.041	6	0.207	---	---	16	
1258	perphenazine	0.071	5	0.207	---	---	40	
1255	wortmannin	0.131	18	0.208	---	---	38	
1254	benserazide	0.051	5	0.209	---	---	40	
1250	practolol	-0.004	4	0.211	---	---	25	
1251	asiaticoside	-0.001	4	0.211	---	---	25	
1252	dydrogesterone	-0.042	4	0.211	---	---	25	
1249	spectinomycin	0.006	4	0.212	---	---	25	
1247	harmalol	0.015	3	0.213	---	---	33	
1248	sodium phenylbutyrate	0.092	7	0.213	---	---	28	
1245	felodipine	-0.141	7	0.215	---	---	14	
1241	pempidine	-0.123	5	0.216	---	---	0	
1242	diethylstilbestrol	0.026	6	0.216	---	---	33	
1240	methyldopa	-0.002	5	0.217	---	---	20	
1234	zimeldine	-0.156	5	0.22	---	---	0	
1233	tridihexethyl	0.028	4	0.221	---	---	25	
1231	sulfametoxydiazine	-0.156	4	0.222	---	---	0	
1232	azathioprine	-0.048	7	0.222	---	---	28	
1227	epiandrosterone	-0.006	4	0.223	---	---	25	
1228	norfloxacin	-0.078	5	0.223	---	---	20	
1226	puromycin	0.034	4	0.224	---	---	25	
1222	phensuximide	0.041	4	0.225	---	---	25	
1223	furaltadone	-0.091	6	0.225	---	---	16	
1221	apomorphine	-0.043	5	0.226	---	---	40	
1220	hydrastinine	0.096	5	0.227	---	---	40	
1219	retrorsine	0.034	4	0.228	---	---	25	
1216	oxymetazoline	0.007	4	0.229	---	---	25	
1214	clozapine	0.128	17	0.231	---	---	41	
1211	methylbenzethonium chloride	0	6	0.234	---	---	16	
1207	tetraethylenepentamine	-0.111	6	0.235	---	---	16	
1208	genistein	0.102	17	0.235	---	---	41	
1210	trifluoperazine	0.02	16	0.235	---	---	18	
1204	dinoprost	-0.05	4	0.237	---	---	25	
1205	vinburnine	0.026	4	0.237	---	---	25	
1206	adipiodone	0.05	4	0.237	---	---	25	
1203	butacaine	0.063	4	0.238	---	---	25	
1194	phenindione	-0.153	4	0.242	---	---	0	
1195	raubasine	-0.066	4	0.242	---	---	25	
1196	monastrol	0.032	8	0.242	---	---	25	
1190	protoveratrine A	0.016	4	0.243	---	---	25	
1192	kanamycin	-0.031	4	0.243	---	---	25	
1187	chlorcyclizine	0.072	6	0.244	---	---	33	
1188	oxyphenbutazone	0.011	4	0.244	---	---	25	
1183	lycorine	-0.002	5	0.246	---	---	40	
1185	foliosidine	0.02	6	0.246	---	---	33	
1178	CP-944629	0.041	4	0.248	---	---	25	
1173	trimethoprim	-0.027	5	0.249	---	---	20	
1175	pentetic acid	-0.015	5	0.249	---	---	40	
1176	paromomycin	-0.053	4	0.249	---	---	25	
1170	raloxifene	-0.053	7	0.251	---	---	14	
1172	finasteride	-0.053	6	0.251	---	---	16	
1167	mepyramine	0.077	4	0.252	---	---	25	
1169	guanethidine	0.024	3	0.252	---	---	33	
1165	glipizide	0.004	5	0.253	---	---	20	
1161	pyrimethamine	0.09	5	0.255	---	---	40	
1162	diazoxide	-0.087	5	0.255	---	---	0	
1159	3-hydroxy-DL-kynurenine	0.072	6	0.257	---	---	33	
1160	naproxen	0.044	9	0.257	---	---	33	
1158	tiaprofenic acid	0.058	4	0.258	---	---	25	
1156	0317956-0000	0.15	8	0.259	---	---	37	
1157	pioglitazone	0.079	11	0.259	---	---	18	
1151	glycocholic acid	0.017	4	0.26	---	---	25	
1152	betonicine	0.154	6	0.26	---	---	33	
1154	iobenguane	-0.129	4	0.26	---	---	0	
1148	fluspirilene	-0.285	4	0.261	---	---	0	
1145	palmatine	-0.144	4	0.263	---	---	0	
1143	trifluridine	0.08	4	0.264	---	---	25	
1144	vigabatrin	0.066	3	0.264	---	---	33	
1140	homosalate	0.04	4	0.265	---	---	25	
1142	sulfaphenazole	-0.054	4	0.265	---	---	25	
1135	cetirizine	-0.157	4	0.266	---	---	0	
1132	thiamazole	0.03	6	0.267	---	---	33	
1133	meptazinol	-0.097	4	0.267	---	---	0	
1125	withaferin A	-0.09	4	0.27	---	---	0	
1126	paclitaxel	0.051	6	0.27	---	---	33	
1122	sulpiride	-0.035	5	0.271	---	---	20	
1123	mephentermine	-0.013	5	0.271	---	---	20	
1113	flurbiprofen	-0.002	5	0.274	---	---	20	
1115	chlorhexidine	0.144	5	0.274	---	---	20	
1116	danazol	0.139	4	0.274	---	---	25	
1109	sulfadimidine	-0.032	6	0.275	---	---	16	
1106	chloramphenicol	-0.013	4	0.276	---	---	25	
1107	fenbufen	0.016	6	0.276	---	---	16	
1108	lansoprazole	0.162	4	0.276	---	---	25	
1104	PHA-00745360	0.18	8	0.277	---	---	37	
1099	dacarbazine	-0.067	4	0.28	---	---	25	
1095	bacampicillin	0.178	4	0.282	---	---	25	
1091	CP-645525-01	-0.165	3	0.283	---	---	0	
1092	carbinoxamine	0.027	4	0.283	---	---	25	
1089	azaperone	-0.011	4	0.284	---	---	25	
1082	diperodon	0.22	3	0.286	---	---	33	
1083	proxyphylline	-0.127	4	0.286	---	---	0	
1077	resveratrol	0.035	9	0.287	---	---	22	
1079	phentolamine	-0.009	7	0.287	---	---	14	
1076	AG-012559	-0.177	3	0.288	---	---	0	
1075	cefotaxime	0.124	5	0.289	---	---	40	
1070	florfenicol	0.02	4	0.291	---	---	25	
1071	deferoxamine	-0.002	8	0.291	---	---	25	
1066	iloprost	0	3	0.292	---	---	0	
1067	cyclopentolate	-0.062	4	0.292	---	---	25	
1068	streptozocin	0.166	4	0.292	---	---	25	
1069	propantheline bromide	0	4	0.292	---	---	0	
1064	netilmicin	0	4	0.293	---	---	0	
1060	Prestwick-674	-0.07	6	0.294	---	---	0	
1061	gemfibrozil	-0.003	5	0.294	---	---	20	
1062	norcyclobenzaprine	-0.015	4	0.294	---	---	25	
1056	corticosterone	0.067	4	0.295	---	---	25	
1049	meprylcaine	0.036	4	0.296	---	---	25	
1051	scopolamine	0.068	4	0.296	---	---	25	
1052	triamterene	0.136	5	0.296	---	---	40	
1053	diphenylpyraline	0.175	6	0.296	---	---	33	
1054	altizide	0.03	4	0.296	---	---	25	
1047	ampyrone	0.256	5	0.297	---	---	40	
1048	rolipram	-0.092	4	0.297	---	---	0	
1043	guanabenz	0.228	5	0.298	---	---	40	
1044	ethisterone	0.177	6	0.298	---	---	33	
1046	dimethadione	-0.029	4	0.298	---	---	25	
1036	(-)-atenolol	-0.141	4	0.3	---	---	0	
1037	dropropizine	0.009	4	0.3	---	---	25	
1038	sulfadiazine	0.121	5	0.3	---	---	20	
1034	zalcitabine	0.081	4	0.301	---	---	25	
1030	monobenzone	0.002	4	0.302	---	---	25	
1027	disulfiram	0	5	0.303	---	---	0	
1028	clopamide	0.157	4	0.303	---	---	25	
1029	iproniazid	0.134	5	0.303	---	---	20	
1023	etilefrine	0.166	4	0.305	---	---	25	
1018	phenylpropanolamine	0.025	4	0.306	---	---	25	
1013	piribedil	-0.074	4	0.307	---	---	25	
462	SR-95531	0.127	4	0.308	0.74115	0.7315	50	
1011	scopolamine N-oxide	-0.013	5	0.308	---	---	20	
363	loperamide	0.195	6	0.309	0.51383	0.6919	50	
1006	betazole	-0.018	5	0.309	---	---	40	
1007	AR-A014418	0.011	3	0.309	---	---	33	
1004	theophylline	-0.008	4	0.31	---	---	25	
1005	acacetin	-0.049	6	0.31	---	---	16	
460	dihydroergocristine	0.076	4	0.311	0.72942	0.8626	50	
1001	hemicholinium	0.126	4	0.311	---	---	25	
1002	nicergoline	-0.091	5	0.311	---	---	20	
457	nimodipine	0.095	4	0.312	0.72753	0.7963	50	
997	etifenin	0.146	4	0.313	---	---	25	
998	carbenoxolone	0.179	4	0.313	---	---	25	
995	medrysone	-0.097	6	0.314	---	---	0	
453	fenbendazole	0.306	4	0.315	0.7182	0.7853	50	
992	N-acetyl-L-aspartic acid	0.161	4	0.315	---	---	25	
989	acemetacin	0.136	4	0.316	---	---	25	
991	hydroxyzine	0.072	5	0.316	---	---	40	
987	tribenoside	0	4	0.317	---	---	0	
988	pirenperone	0.126	5	0.317	---	---	20	
446	ciprofibrate	0.132	4	0.318	0.70789	0.7368	50	
985	econazole	0.16	4	0.318	---	---	25	
982	letrozole	0	4	0.319	---	---	0	
444	oxamniquine	0.099	4	0.32	0.70163	0.5854	50	
981	alvespimycin	0.069	12	0.32	---	---	25	
978	trioxysalen	-0.19	4	0.321	---	---	0	
979	6-benzylaminopurine	0.151	5	0.321	---	---	40	
973	benzylpenicillin	0	4	0.322	---	---	0	
440	oxedrine	0.268	4	0.323	0.68965	0.7541	50	
972	omeprazole	-0.186	4	0.323	---	---	0	
969	serotonin	0.152	5	0.324	---	---	40	
970	carbimazole	0.273	3	0.324	---	---	33	
966	pindolol	0.16	5	0.325	---	---	20	
959	dinoprostone	0.143	4	0.326	---	---	25	
960	cyproheptadine	0.018	5	0.326	---	---	20	
433	metixene	0.08	4	0.328	0.67312	0.8571	50	
953	dihydrostreptomycin	0	5	0.329	---	---	0	
956	Prestwick-682	0.192	4	0.329	---	---	25	
945	griseofulvin	0.04	5	0.33	---	---	20	
947	picrotoxinin	0.003	4	0.33	---	---	25	
949	tracazolate	-0.191	4	0.33	---	---	0	
952	santonin	0.151	4	0.33	---	---	25	
431	propoxycaine	0.144	4	0.331	0.6659	0.6118	50	
942	doxycycline	0.108	5	0.331	---	---	20	
152	metformin	0.257	10	0.332	0.17473	0.205	50	
495	cromoglicic acid	0.027	2	0.332	0.94789	0.9237	50	
937	orphenadrine	0.116	6	0.332	---	---	16	
938	sertaconazole	-0.144	4	0.332	---	---	0	
939	thiamine	0.3	3	0.332	---	---	33	
941	fluticasone	0	4	0.332	---	---	0	
932	phenformin	0.06	7	0.333	---	---	42	
933	procarbazine	0.186	3	0.333	---	---	33	
934	(-)-isoprenaline	0.122	4	0.333	---	---	25	
935	ethambutol	-0.028	5	0.333	---	---	20	
428	thiethylperazine	0.167	4	0.334	0.65348	0.6868	50	
930	"16,16-dimethylprostaglandin E2"	0.198	3	0.334	---	---	33	
931	diethylcarbamazine	-0.057	4	0.334	---	---	25	
425	cinchonine	0.281	4	0.337	0.64302	0.8867	50	
918	mefenamic acid	0.139	5	0.337	---	---	20	
919	hycanthone	0.198	4	0.337	---	---	25	
920	lisuride	0.332	5	0.337	---	---	40	
921	merbromin	0.208	5	0.337	---	---	40	
422	quinpirole	0.308	4	0.338	0.6396	0.8192	50	
424	benzocaine	0.234	4	0.338	0.64155	0.8159	50	
914	lidoflazine	0.158	3	0.338	---	---	33	
915	ramifenazone	0.197	4	0.338	---	---	25	
916	eucatropine	-0.142	6	0.338	---	---	0	
913	co-dergocrine mesilate	0.162	4	0.339	---	---	25	
907	BAS-012416453	0	3	0.34	---	---	0	
908	pyrazinamide	-0.123	4	0.34	---	---	0	
909	demeclocycline	-0.23	6	0.34	---	---	0	
910	flunixin	-0.112	5	0.34	---	---	0	
911	sitosterol	-0.139	4	0.34	---	---	0	
420	arecoline	0.258	4	0.341	0.62925	0.7733	50	
900	debrisoquine	0.112	4	0.341	---	---	25	
902	apramycin	-0.198	4	0.341	---	---	0	
904	guanfacine	-0.123	5	0.341	---	---	20	
418	carteolol	0.167	4	0.342	0.62629	0.7413	50	
417	tiletamine	0.059	4	0.343	0.62349	0.7206	50	
897	ofloxacin	0.177	5	0.343	---	---	20	
414	tetrahydroalstonine	0.14	4	0.344	0.61782	0.6768	50	
895	meclozine	0.012	5	0.344	---	---	20	
413	desipramine	0.167	4	0.345	0.61636	0.8211	50	
893	thioridazine	0.046	20	0.345	---	---	25	
886	scoulerine	0	4	0.346	---	---	0	
887	Trolox C	0.14	4	0.346	---	---	25	
889	etofylline	0.043	5	0.346	---	---	20	
890	Prestwick-981	0.197	3	0.346	---	---	33	
409	bemegride	-0.03	4	0.347	0.60769	0.375	50	
882	acebutolol	0.171	5	0.347	---	---	40	
885	mimosine	0.125	3	0.347	---	---	33	
